247.08856208334373 , 125.03001173503783 , 251.2650121095603 , 
250.4564569826529 , 374.83133495206386 , 246.52897444241407 , 

248.29982768523837 , 124.98836251030143 , 247.59253802162675 , 
249.2419100533073 , 374.8230597892735 , 250.21030107365416 , 

250.60137551581843 , 374.74515443291233 , 248.43223708890835 , 
246.94072222916407 , 124.89139072847682 , 249.36743721104585 , 

374.13416164658634 , 253.04156626506025 , 246.90519578313254 , 
124.4054780876494 , 246.5273406374502 , 250.8789342629482 , 

245.39477032860103 , 125.13276279348287 , 250.23773048229745 , 
252.15931464642668 , 374.9033841837629 , 247.5570000751484 , 

246.72456495143933 , 125.02077247646868 , 247.97088857264126 , 
250.8215886049015 , 374.8531053646081 , 249.83160187248103 , 

124.31565706884527 , 247.65584836106407 , 248.32938128922984 , 
374.1494529760112 , 251.90271504566897 , 249.47488206363545 , 

246.43441867417354 , 250.2013153633442 , 373.03079146010316 , 
251.12283298627662 , 249.33849318848942 , 123.89101583080358 , 

124.50447329728114 , 243.40750616791686 , 244.88035487327735 , 
373.827853434655 , 256.1758834298899 , 252.94527625210043 , 

124.16174966956783 , 248.24252475124067 , 247.635053243223 , 
373.9973183629483 , 251.30791208240396 , 250.1712488408812 , 

